epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.6714,0.77782,0.57692,0.86424,0.9482,1,0.98163,0.77868,0.79469,0.5717,0.86631,0.0011882,0.0011882,0.0011882
43,96.9217,0.76533,0.54921,0.87205,0.91051,0.99274,0.98083,0.80009,0.73615,0.57864,0.83789,0.0011684,0.0011684,0.0011684
44,99.1272,0.85477,0.57308,0.90591,0.93587,1,0.98089,0.8115,0.75822,0.52313,0.84211,0.0011486,0.0011486,0.0011486
45,101.334,0.86624,0.60198,0.9054,0.97275,1,0.98762,0.79986,0.70459,0.51924,0.83763,0.0011288,0.0011288,0.0011288
46,103.506,0.79236,0.55313,0.87047,0.97381,1,0.98286,0.80611,0.73723,0.48954,0.84289,0.001109,0.001109,0.001109
47,105.733,0.78717,0.57006,0.88241,0.9738,1,0.98762,0.80585,0.72509,0.53834,0.8395,0.0010892,0.0010892,0.0010892
48,107.913,0.75839,0.55692,0.87195,0.97385,1,0.98119,0.82029,0.72255,0.51094,0.84181,0.0010694,0.0010694,0.0010694
49,110.115,0.7088,0.52089,0.87068,0.97368,1,0.98929,0.83804,0.70271,0.47351,0.83384,0.0010496,0.0010496,0.0010496
50,112.371,0.73443,0.52349,0.86549,0.95228,0.97342,0.98643,0.81606,0.71031,0.51842,0.83606,0.0010298,0.0010298,0.0010298
51,114.616,0.69876,0.50135,0.84873,0.9244,0.95122,0.96063,0.80526,0.73498,0.61057,0.83833,0.00101,0.00101,0.00101
52,116.775,0.75032,0.52096,0.86592,0.95321,0.99383,0.98482,0.80806,0.76067,0.50576,0.84911,0.0009902,0.0009902,0.0009902
53,119.053,0.75557,0.5301,0.85451,0.9306,0.9813,0.97346,0.78275,0.76163,0.54518,0.84859,0.0009704,0.0009704,0.0009704
54,121.219,0.73611,0.52864,0.87902,0.94456,1,0.97687,0.80928,0.74699,0.50566,0.84628,0.0009506,0.0009506,0.0009506
55,123.418,0.72311,0.50682,0.85314,0.95203,0.9683,0.96983,0.81463,0.72946,0.59148,0.84112,0.0009308,0.0009308,0.0009308
56,125.615,0.72677,0.4972,0.86316,0.92732,0.90244,0.97456,0.81032,0.73538,0.59494,0.84628,0.000911,0.000911,0.000911
57,127.784,0.68117,0.48058,0.85168,0.90971,0.98314,0.97979,0.82972,0.69961,0.58901,0.83813,0.0008912,0.0008912,0.0008912
